bookID,title,authors,isbn13,language_code,  num_pages,publication_date,publisher,in_stock,copyID,uID
24780,The Book of Three (The Chronicles of Prydain  #1),Lloyd Alexander,9780805080483,en-US,190,5/16/2006,Square Fish,3,1,b24780c1
24780,The Book of Three (The Chronicles of Prydain  #1),Lloyd Alexander,9780805080483,en-US,190,5/16/2006,Square Fish,3,2,b24780c2
3692,The Heart of the Matter,Graham Greene,9780099478423,eng,272,10/7/2004,Vintage Classics,3,0,b3692c0
3692,The Heart of the Matter,Graham Greene,9780099478423,eng,272,10/7/2004,Vintage Classics,3,1,b3692c1
3692,The Heart of the Matter,Graham Greene,9780099478423,eng,272,10/7/2004,Vintage Classics,3,2,b3692c2
43352,I'll Be Seeing You,Mary Higgins Clark,9780671888589,eng,307,5/1/1994,Pocket Books,2,0,b43352c0
43352,I'll Be Seeing You,Mary Higgins Clark,9780671888589,eng,307,5/1/1994,Pocket Books,2,1,b43352c1
44521,Kiss Kiss,Roald Dahl,9780140018325,eng,231,10/26/1987,Penguin Books,3,0,b44521c0
44521,Kiss Kiss,Roald Dahl,9780140018325,eng,231,10/26/1987,Penguin Books,3,1,b44521c1
44521,Kiss Kiss,Roald Dahl,9780140018325,eng,231,10/26/1987,Penguin Books,3,2,b44521c2
22420,Transmetropolitan  Vol. 5: Lonely City,Warren Ellis/Darick Robertson/Rodney Ramos/Patrick Stewart,9781563897221,eng,144,7/1/2001,Vertigo,2,0,b22420c0
22420,Transmetropolitan  Vol. 5: Lonely City,Warren Ellis/Darick Robertson/Rodney Ramos/Patrick Stewart,9781563897221,eng,144,7/1/2001,Vertigo,2,1,b22420c1
15581,Ferdydurke,Witold Gombrowicz/Danuta Borchardt,9780300082401,eng,320,8/11/2000,Yale University Press,2,0,b15581c0
15581,Ferdydurke,Witold Gombrowicz/Danuta Borchardt,9780300082401,eng,320,8/11/2000,Yale University Press,2,1,b15581c1
15611,Billy Budd  Sailor,Herman Melville/Harrison Hayford/Merton M. Sealts Jr.,9780226321325,eng,230,9/1/2001,University of Chicago Press,1,0,b15611c0
2723,The Years of Rice and Salt,Kim Stanley Robinson,9780553580075,eng,763,6/3/2003,Bantam Books,3,0,b2723c0
2723,The Years of Rice and Salt,Kim Stanley Robinson,9780553580075,eng,763,6/3/2003,Bantam Books,3,1,b2723c1
2723,The Years of Rice and Salt,Kim Stanley Robinson,9780553580075,eng,763,6/3/2003,Bantam Books,3,2,b2723c2
19350,The Epic of Gilgamesh,Anonymous/N.K. Sandars,9780848805012,eng,127,6/1/1976,Amereon Limited,1,0,b19350c0
3583,The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,9780393058000,eng,907,11/7/2005,W. W. Norton & Company,2,0,b3583c0
3583,The New Annotated Sherlock Holmes: The Novels,Arthur Conan Doyle/Leslie S. Klinger,9780393058000,eng,907,11/7/2005,W. W. Norton & Company,2,1,b3583c1
32966,The Merchant of Venice,William Shakespeare,9780141013954,eng,240,4/7/2005,Penguin Classics,1,0,b32966c0
10656,Next: The Future Just Happened,Michael   Lewis,9780393323528,en-US,240,5/17/2002,W. W. Norton  Company,2,0,b10656c0
10656,Next: The Future Just Happened,Michael   Lewis,9780393323528,en-US,240,5/17/2002,W. W. Norton  Company,2,1,b10656c1
31968,Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,9780060838638,eng,451,8/2/2005,William Morrow Paperbacks,3,0,b31968c0
31968,Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,9780060838638,eng,451,8/2/2005,William Morrow Paperbacks,3,1,b31968c1
31968,Walking the Bible: A Journey by Land Through the Five Books of Moses,Bruce Feiler,9780060838638,eng,451,8/2/2005,William Morrow Paperbacks,3,2,b31968c2
8628,The Making of Master and Commander: The Far Side of the World,Tom McGregor,9780393325539,eng,168,10/17/2003,W. W. Norton  Company,1,0,b8628c0
30859,My Woman His Wife,Anna J.,9780975306628,en-US,260,9/1/2006,Urban Books,2,0,b30859c0
30859,My Woman His Wife,Anna J.,9780975306628,en-US,260,9/1/2006,Urban Books,2,1,b30859c1
40995,Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,9780312890186,eng,411,10/15/1994,Orb Books,3,0,b40995c0
40995,Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,9780312890186,eng,411,10/15/1994,Orb Books,3,1,b40995c1
40995,Sword & Citadel (The Book of the New Sun #3-4),Gene Wolfe,9780312890186,eng,411,10/15/1994,Orb Books,3,2,b40995c2
22557,Wasteland of Flint,Thomas Harlan,9780765341136,eng,512,2/1/2004,Tor Books,2,0,b22557c0
22557,Wasteland of Flint,Thomas Harlan,9780765341136,eng,512,2/1/2004,Tor Books,2,1,b22557c1
14707,Faust  Part Two,Johann Wolfgang von Goethe/David  Luke,9780192836366,eng,304,7/22/1999,Oxford University Press  USA,2,0,b14707c0
14707,Faust  Part Two,Johann Wolfgang von Goethe/David  Luke,9780192836366,eng,304,7/22/1999,Oxford University Press  USA,2,1,b14707c1
23875,El coronel no tiene quien le escriba,Gabriel García Márquez,9780307350435,spa,104,2/7/2006,Plaza & Janés,3,0,b23875c0
23875,El coronel no tiene quien le escriba,Gabriel García Márquez,9780307350435,spa,104,2/7/2006,Plaza & Janés,3,1,b23875c1
23875,El coronel no tiene quien le escriba,Gabriel García Márquez,9780307350435,spa,104,2/7/2006,Plaza & Janés,3,2,b23875c2
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,9780618510825,eng,224,11/15/2004,Houghton Mifflin Harcourt,1,0,b37c0
21705,The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,Donald H. Wolfe,9780060582500,en-US,448,9/5/2006,Harper Paperbacks,2,0,b21705c0
21705,The Black Dahlia Files: The Mob  the Mogul  and the Murder That Transfixed Los Angeles,Donald H. Wolfe,9780060582500,en-US,448,9/5/2006,Harper Paperbacks,2,1,b21705c1
22304,Life After God,Douglas Coupland,9780743231510,eng,291,7/1/2002,Simon & Schuster,3,0,b22304c0
22304,Life After God,Douglas Coupland,9780743231510,eng,291,7/1/2002,Simon & Schuster,3,1,b22304c1
22304,Life After God,Douglas Coupland,9780743231510,eng,291,7/1/2002,Simon & Schuster,3,2,b22304c2
29526,The Death and Rebirth of the Seneca,Anthony F.C. Wallace,9780394716992,eng,416,4/12/1972,Vintage,1,0,b29526c0
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,9780740721359,eng,96,9/17/2001,Andrews McMeel Publishing,2,0,b24820c0
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,9780740721359,eng,96,9/17/2001,Andrews McMeel Publishing,2,1,b24820c1
7865,Days Between Stations,Steve Erickson,9780743265690,eng,256,2/9/2005,Simon & Schuster,2,0,b7865c0
7865,Days Between Stations,Steve Erickson,9780743265690,eng,256,2/9/2005,Simon & Schuster,2,1,b7865c1
20567,Scenes of Clerical Life,George Eliot/Thomas A. Noble,9780192837806,eng,310,1/24/2002,Oxford University Press,2,0,b20567c0
20567,Scenes of Clerical Life,George Eliot/Thomas A. Noble,9780192837806,eng,310,1/24/2002,Oxford University Press,2,1,b20567c1
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,9780192802637,eng,249,3/18/2004,Oxford University Press,4,0,b2156c0
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,9780192802637,eng,249,3/18/2004,Oxford University Press,4,1,b2156c1
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,9780192802637,eng,249,3/18/2004,Oxford University Press,4,2,b2156c2
2156,Persuasion,Jane Austen/James Kinsley/Anna Massey/Richard S. Hartmetz/Maurgaux Motin/Deidre Shauna Lynch,9780192802637,eng,249,3/18/2004,Oxford University Press,4,3,b2156c3
2315,Below the Root,Zilpha Keatley Snyder/Alton Raible,9780689304576,eng,231,1/1/1975,Atheneum Books,1,0,b2315c0
11574,The Body,Stephen King/Robin Waterfield,9780582418172,eng,80,12/20/1999,Penguin Books,3,0,b11574c0
11574,The Body,Stephen King/Robin Waterfield,9780582418172,eng,80,12/20/1999,Penguin Books,3,1,b11574c1
11574,The Body,Stephen King/Robin Waterfield,9780582418172,eng,80,12/20/1999,Penguin Books,3,2,b11574c2
8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,9780060885434,eng,374,1/1/2007,HarperTrophy,3,0,b8253c0
8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,9780060885434,eng,374,1/1/2007,HarperTrophy,3,1,b8253c1
8253,Little Town on the Prairie  (Little House  #7),Laura Ingalls Wilder/Garth Williams,9780060885434,eng,374,1/1/2007,HarperTrophy,3,2,b8253c2
13529,March,Geraldine Brooks,9780143036661,eng,280,1/31/2006,Penguin,4,0,b13529c0
13529,March,Geraldine Brooks,9780143036661,eng,280,1/31/2006,Penguin,4,1,b13529c1
13529,March,Geraldine Brooks,9780143036661,eng,280,1/31/2006,Penguin,4,2,b13529c2
13529,March,Geraldine Brooks,9780143036661,eng,280,1/31/2006,Penguin,4,3,b13529c3
